"rrrrr";"Ozon Product ID";"FBS OZON SKU ID";"Наименование товара";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Доступно на ""Тихвин, Мебельная 1"", шт";"Зарезервировано на ""Тихвин, Мебельная 1"", шт"
"2001459863978";"57181440";"241715780";"Комбинезон 8831-TWILL-71/58";"0";"0";"0";"0"
"2001459854389";"57181441";"241716040";"Комбинезон 8831-TWILL-71/58";"0";"0";"0";"0"
"2001459863992";"57181442";"241716205";"Комбинезон 8831-TWILL-71/58";"0";"0";"0";"0"
"2001459854396";"57181443";"241720703";"Комбинезон 8831-TWILL-71/58";"0";"0";"0";"0"
"2001459872536";"57181444";"241715789";"Комбинезон 8831-TWILL-71/58";"5";"0";"5";"0"
"2001459875285";"57181445";"241715786";"Комбинезон мужской экстремальный 8831F-PP-13/77 (р-р 44-46/170)";"6";"0";"6";"0"
"2001459875292";"57181446";"241715864";"Комбинезон мужской экстремальный 8831F-PP-13/77 (р-р 48-50/170)";"3";"0";"3";"0"
"2001459875308";"57181447";"241715995";"Комбинезон мужской экстремальный 8831F-PP-13/77 (р-р 48-50/176)";"5";"0";"5";"0"
"2001459875315";"57181448";"241715753";"Комбинезон мужской экстремальный 8831F-PP-13/77 (р-р 48-50/182)";"2";"0";"2";"0"
"2001459875322";"57181449";"241715980";"Комбинезон мужской экстремальный 8831F-PP-13/77 (р-р 52-54/176)";"2";"0";"2";"0"
"2001459875339";"57181450";"241716022";"Комбинезон мужской экстремальный 8831F-PP-13/77 (р-р 52-54/182)";"2";"0";"2";"0"
"2001459875346";"57181451";"241715803";"Комбинезон мужской экстремальный 8831F-PP-13/77 (р-р 52-54/188)";"2";"0";"2";"0"
"2001459875353";"57181452";"241717771";"Комбинезон мужской экстремальный 8831F-PP-13/77 (р-р 56-58/176)";"3";"0";"3";"0"
"2001459875360";"57181453";"241715909";"Комбинезон мужской экстремальный 8831F-PP-13/77 (р-р 56-58/182)";"3";"0";"3";"0"
"2001459864067";"57181454";"241716076";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 48-50/170)";"0";"0";"0";"0"
"2001459875162";"57181455";"241717596";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 48-50/182)";"0";"0";"0";"0"
"2001459864043";"57181456";"241716061";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 44-46/170)";"0";"0";"0";"0"
"2001459864074";"57181457";"241716104";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 48-50/176)";"0";"0";"0";"0"
"2001459875155";"57181458";"241717681";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 44-46/176)";"0";"0";"0";"0"
"2001459864104";"57181459";"241717770";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 52-54/176)";"0";"0";"0";"0"
"2001459864098";"57181460";"241716071";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 52-54/170)";"1";"0";"1";"0"
"2001459864081";"57181461";"241717756";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 48-50/188)";"0";"0";"0";"0"
"2001459864111";"57181462";"241717603";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 52-54/182)";"0";"0";"0";"0"
"2001459864128";"57181463";"241717764";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 52-54/188)";"0";"0";"0";"0"
"2001459875179";"57181464";"241717663";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 56-58/176)";"0";"0";"0";"0"
"2001459864142";"57181465";"241717905";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 56-58/182)";"1";"0";"1";"0"
"2001459864159";"57181466";"241717912";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 56-58/188)";"0";"0";"0";"0"
"2001459875186";"57181467";"241717799";"Комбинезон мужской экстремальный 8831F-PP-71/55 (р-р 60-62/182)";"0";"0";"0";"0"
"2001459875193";"57181468";"241679563";"Комбинезон мужской экстремальный 8831F-PP-80/55 (р-р 44-46/170)";"1";"0";"1";"0"
"2001459875209";"57181469";"241679530";"Комбинезон мужской экстремальный 8831F-PP-80/55 (р-р 48-50/170)";"0";"0";"0";"0"
"2001459875216";"57181470";"241679507";"Комбинезон мужской экстремальный 8831F-PP-80/55 (р-р 48-50/176)";"0";"0";"0";"0"
"2001459875223";"57181471";"241679506";"Комбинезон мужской экстремальный 8831F-PP-80/55 (р-р 48-50/182)";"0";"0";"0";"0"
"2001459875247";"57181472";"241679518";"Комбинезон мужской экстремальный 8831F-PP-80/55 (р-р 52-54/176)";"1";"0";"1";"0"
"2001459875230";"57181473";"241679562";"Комбинезон мужской экстремальный 8831F-PP-80/55 (р-р 52-54/182)";"0";"0";"0";"0"
"2001459841457";"57181474";"242829066";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 40-42/152)";"10";"0";"10";"0"
"2001459875278";"57181475";"241679503";"Комбинезон мужской экстремальный 8831F-PP-80/55 (р-р 56-58/182)";"0";"0";"0";"0"
"2001459875254";"57181476";"241679535";"Комбинезон мужской экстремальный 8831F-PP-80/55 (р-р 52-54/188)";"0";"0";"0";"0"
"2001459875261";"57181477";"241682950";"Комбинезон мужской экстремальный 8831F-PP-80/55 (р-р 56-58/176)";"1";"0";"1";"0"
"2001459855188";"57181478";"242829001";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 40-42/164)";"48";"0";"48";"0"
"2001459841464";"57181479";"242829043";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 40-42/170)";"7";"0";"7";"0"
"2001459841495";"57181480";"242828983";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 44-46/170)";"181";"0";"181";"0"
"2001459841501";"57181481";"242828981";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 44-46/176)";"13";"0";"13";"0"
"2001459841525";"57181482";"242828988";"Куртка рабочая SWW-314";"0";"0";"0";"0"
"2001459855423";"57181483";"242829040";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 48-50/182)";"8";"0";"8";"0"
"2001459855492";"57181484";"242828979";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 52-54/176)";"12";"0";"12";"0"
"2001459855515";"57181485";"242829027";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 52-54/182)";"10";"0";"10";"0"
"2001459855560";"57181486";"242828990";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 52-54/188)";"2";"0";"2";"0"
"2001459855584";"57181487";"242828997";"Куртка рабочая мужская 314-TOMBOY-00 (р-р 56-58/182)";"47";"0";"47";"0"
"2001459853290";"73692572";"262717363";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 48-50/170)";"0";"0";"0";"0"
"2001459853283";"73692575";"262717540";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 44-46/176)";"0";"0";"0";"0"
"2001459853313";"73692576";"262717604";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 48-50/182)";"2";"0";"2";"0"
"2001459853276";"73692577";"262717405";"Комбинезон рабочий летний мужской 830-MU-00 (р-р 44-46/170)";"1";"0";"1";"0"
