852,2001459815144,791E-TASLAN-15|60-62_182-188,Жилет утеплённый 791E-TASLAN-15,"(852, '2001459815144', 'activity'),"
853,2001459874448,791E-TASLAN-15|64-66_170-176,Жилет утеплённый 791E-TASLAN-15,"(853, '2001459874448', 'activity'),"
854,2001459853764,791E-TASLAN-15|64-66_182-188,Жилет утеплённый 791E-TASLAN-15,"(854, '2001459853764', 'activity'),"
855,2001459849422,791E-TASLAN-55|52-54_170-176,Жилет утеплённый 791E-TASLAN-55,"(855, '2001459849422', 'activity'),"
856,2001459864869,791E-TASLAN-55|44-46_158-164,Жилет утеплённый 791E-TASLAN-55,"(856, '2001459864869', 'activity'),"
857,2001459849392,791E-TASLAN-55|44-46_170-176,Жилет утеплённый 791E-TASLAN-55,"(857, '2001459849392', 'activity'),"
858,2001459864876,791E-TASLAN-55|48-50_158-164,Жилет утеплённый 791E-TASLAN-55,"(858, '2001459864876', 'activity'),"
859,2001459849408,791E-TASLAN-55|48-50_170-176,Жилет утеплённый 791E-TASLAN-55,"(859, '2001459849408', 'activity'),"
860,2001459849415,791E-TASLAN-55|48-50_182-188,Жилет утеплённый 791E-TASLAN-55,"(860, '2001459849415', 'activity'),"
861,2001459849439,791E-TASLAN-55|52-54_182-188,Жилет утеплённый 791E-TASLAN-55,"(861, '2001459849439', 'activity'),"
862,2001459849446,791E-TASLAN-55|56-58_170-176,Жилет утеплённый 791E-TASLAN-55,"(862, '2001459849446', 'activity'),"
863,2001459849453,791E-TASLAN-55|56-58_182-188,Жилет утеплённый 791E-TASLAN-55,"(863, '2001459849453', 'activity'),"
864,2001459854082,791E-TASLAN-55|60-62_170-176,Жилет утеплённый 791E-TASLAN-55,"(864, '2001459854082', 'activity'),"
865,2001459854099,791E-TASLAN-55|60-62_182-188,Жилет утеплённый 791E-TASLAN-55,"(865, '2001459854099', 'activity'),"
866,2001459874394,791E-TASLAN-55|64-66_170-176,Жилет утеплённый 791E-TASLAN-55,"(866, '2001459874394', 'activity'),"
867,2001459874400,791E-TASLAN-55|64-66_182-188,Жилет утеплённый 791E-TASLAN-55,"(867, '2001459874400', 'activity'),"
868,2001459853856,791E-TASLAN-75|48-50_170-176,Жилет утеплённый 791E-TASLAN-75,"(868, '2001459853856', 'activity'),"
869,2001459873892,791E-TASLAN-75|44-46_158-164,Жилет утеплённый 791E-TASLAN-75,"(869, '2001459873892', 'activity'),"
870,2001459853849,791E-TASLAN-75|44-46_170-176,Жилет утеплённый 791E-TASLAN-75,"(870, '2001459853849', 'activity'),"
872,2001459873908,791E-TASLAN-75|48-50_182-188,Жилет утеплённый 791E-TASLAN-75,"(872, '2001459873908', 'activity'),"
873,2001459853863,791E-TASLAN-75|52-54_170-176,Жилет утеплённый 791E-TASLAN-75,"(873, '2001459853863', 'activity'),"
875,2001459873915,791E-TASLAN-75|52-54_182-188,Жилет утеплённый 791E-TASLAN-75,"(875, '2001459873915', 'activity'),"
876,2001459873922,791E-TASLAN-75|56-58_170-176,Жилет утеплённый 791E-TASLAN-75,"(876, '2001459873922', 'activity'),"
877,2001459853870,791E-TASLAN-75|56-58_182-188,Жилет утеплённый 791E-TASLAN-75,"(877, '2001459853870', 'activity'),"
878,2001459874455,791E-TASLAN-75|60-62_170-176,Жилет утеплённый 791E-TASLAN-75,"(878, '2001459874455', 'activity'),"
879,2001459873939,791E-TASLAN-75|60-62_182-188,Жилет утеплённый 791E-TASLAN-75,"(879, '2001459873939', 'activity'),"
880,2001459894491,791E-TASLAN-75|64-66_170-176,Жилет утеплённый 791E-TASLAN-75,"(880, '2001459894491', 'activity'),"
881,2001459873946,791E-TASLAN-75|64-66_182-188,Жилет утеплённый 791E-TASLAN-75,"(881, '2001459873946', 'activity'),"
882,2001459849347,791E-TASLAN-80|48-50_170-176,Жилет утеплённый 791E-TASLAN-80,"(882, '2001459849347', 'activity'),"
883,2001459874417,791E-TASLAN-80|44-46_158-164,Жилет утеплённый 791E-TASLAN-80,"(883, '2001459874417', 'activity'),"
884,2001459849323,791E-TASLAN-80|44-46_170-176,Жилет утеплённый 791E-TASLAN-80,"(884, '2001459849323', 'activity'),"
885,2001459849330,791E-TASLAN-80|48-50_158-164,Жилет утеплённый 791E-TASLAN-80,"(885, '2001459849330', 'activity'),"
886,2001459849354,791E-TASLAN-80|48-50_182-188,Жилет утеплённый 791E-TASLAN-80,"(886, '2001459849354', 'activity'),"
887,2001459854044,791E-TASLAN-80|52-54_158-164,Жилет утеплённый 791E-TASLAN-80,"(887, '2001459854044', 'activity'),"
888,2001459849361,791E-TASLAN-80|52-54_170-176,Жилет утеплённый 791E-TASLAN-80,"(888, '2001459849361', 'activity'),"
889,2001459849378,791E-TASLAN-80|52-54_182-188,Жилет утеплённый 791E-TASLAN-80,"(889, '2001459849378', 'activity'),"
890,2001459854051,791E-TASLAN-80|56-58_170-176,Жилет утеплённый 791E-TASLAN-80,"(890, '2001459854051', 'activity'),"
891,2001459849385,791E-TASLAN-80|56-58_182-188,Жилет утеплённый 791E-TASLAN-80,"(891, '2001459849385', 'activity'),"
892,2001459874424,791E-TASLAN-80|60-62_170-176,Жилет утеплённый 791E-TASLAN-80,"(892, '2001459874424', 'activity'),"
893,2001459854068,791E-TASLAN-80|60-62_182-188,Жилет утеплённый 791E-TASLAN-80,"(893, '2001459854068', 'activity'),"
894,2001459878446,791E-TASLAN-80|64-66_170-176,Жилет утеплённый 791E-TASLAN-80,"(894, '2001459878446', 'activity'),"
895,2001459874431,791E-TASLAN-80|64-66_182-188,Жилет утеплённый 791E-TASLAN-80,"(895, '2001459874431', 'activity'),"
896,2001459821152,791E-TASLAN-81|60-62_170-176,Жилет утеплённый 791E-TASLAN-81,"(896, '2001459821152', 'activity'),"
897,2001459821091,791E-TASLAN-81|44-46_158-164,Жилет утеплённый 791E-TASLAN-81,"(897, '2001459821091', 'activity'),"
898,2001459821107,791E-TASLAN-81|44-46_170-176,Жилет утеплённый 791E-TASLAN-81,"(898, '2001459821107', 'activity'),"
